column_scale,model,parameter,score,hold_out_score
Identity,kmeans,2,0.7093984009364557,0.598095793766281
Identity,GMM_full,2,0.43712112197627717,0.13105902460377947
Identity,GMM_tied,2,0.5319672864205783,-0.13076838261371965
Identity,GMM_diag,2,0.6894631379494863,-0.029402752000930798
Identity,GMM_spherical,2,0.5639750926785358,0.4413911515011752
ZScore,kmeans,2,0.43597445470443164,0.3849883537940611
ZScore,GMM_full,2,0.2877198875397282,0.06744449124870897
ZScore,GMM_tied,2,0.29114410750739916,0.18367695925776187
ZScore,GMM_diag,2,0.2881472261048551,-0.009058654230437953
ZScore,GMM_spherical,2,0.40397897670556654,0.03748394415576116
