params,rt_name,sl_name,method,features,mean_validation_score
"{'C': 41, 'solver': 'lbfgs'}",Identity,Identity,Logistics,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.8546296296296296
"{'alpha': 0.001, 'hidden_layer_sizes': (20,), 'solver': 'lbfgs'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.8090740740740741
"{'C': 1, 'solver': 'saga'}",Identity,Identity,Logistics,all,0.8046296296296296
"{'C': 41, 'solver': 'saga'}",Identity,Identity,Logistics,all,0.8044444444444444
"{'C': 81, 'solver': 'saga'}",Identity,Identity,Logistics,all,0.8044444444444444
"{'C': 41, 'solver': 'saga'}",Identity,Identity,Logistics,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.8038888888888889
"{'C': 81, 'solver': 'saga'}",Identity,Identity,Logistics,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.8037037037037037
"{'C': 1, 'solver': 'saga'}",Identity,Identity,Logistics,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.8035185185185185
"{'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'solver': 'lbfgs'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.7972222222222223
"{'alpha': 0.001, 'hidden_layer_sizes': (40,), 'solver': 'lbfgs'}",Identity,Identity,Neural,all,0.7653703703703704
"{'alpha': 0.0001, 'hidden_layer_sizes': (40,), 'solver': 'lbfgs'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.7388888888888889
"{'alpha': 0.001, 'hidden_layer_sizes': (20,), 'solver': 'adam'}",Identity,Identity,Neural,all,0.7294444444444445
"{'alpha': 0.001, 'hidden_layer_sizes': (40,), 'solver': 'adam'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.7227777777777777
"{'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'solver': 'adam'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.7162962962962963
"{'alpha': 0.0001, 'hidden_layer_sizes': (40,), 'solver': 'adam'}",Identity,Identity,Neural,all,0.715925925925926
"{'alpha': 0.0001, 'hidden_layer_sizes': (40,), 'solver': 'adam'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.7124074074074074
"{'alpha': 0.001, 'hidden_layer_sizes': (20,), 'solver': 'lbfgs'}",Identity,Identity,Neural,all,0.7092592592592593
"{'alpha': 0.001, 'hidden_layer_sizes': (40,), 'solver': 'adam'}",Identity,Identity,Neural,all,0.7090740740740741
"{'alpha': 0.001, 'hidden_layer_sizes': (20,), 'solver': 'adam'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.707962962962963
"{'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'solver': 'adam'}",Identity,Identity,Neural,all,0.7016666666666667
"{'alpha': 0.001, 'hidden_layer_sizes': (40,), 'solver': 'lbfgs'}",Identity,Identity,Neural,"[ 1  2  3  4  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26
 27 28 29 30 31 32 33]",0.6594444444444445
"{'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'solver': 'lbfgs'}",Identity,Identity,Neural,all,0.61
"{'alpha': 0.0001, 'hidden_layer_sizes': (40,), 'solver': 'lbfgs'}",Identity,Identity,Neural,all,0.5905555555555555
