index,paras,rt_name,sl_name,method,mean_validation_score
40,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,MinMax,BRidge,-25.066987405445893
41,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,MinMax,BRidge,-25.067832008938055
42,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,MinMax,BRidge,-25.068681871491986
43,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,MinMax,BRidge,-25.069527692882197
44,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,MinMax,BRidge,-25.079431808086344
45,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,MinMax,BRidge,-25.08039179098832
46,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,MinMax,BRidge,-25.081343877870776
47,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,MinMax,BRidge,-25.08228714037437
1,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-25.09472087274822
0,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.09472087274822
2,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-25.094741537383765
3,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.094741537383765
4,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-25.094752271749268
5,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.094752271749268
6,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.094771122787495
7,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-25.094771122787495
8,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.095084173465526
9,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-25.095084173465526
11,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.095168988222067
10,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-25.095168988222067
12,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.095265495069576
13,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-25.095265495069576
15,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.095358347146068
14,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-25.095358347146068
16,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.096111032892818
17,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-25.096111032892818
18,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.096338298456466
19,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-25.096338298456466
20,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.096561673712166
21,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-25.096561673712166
22,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-25.0967982198601
23,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.0967982198601
25,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.099482447275722
24,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-25.099482447275722
26,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-25.099769788660808
27,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.099769788660808
29,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-25.100108402753243
28,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.100108402753243
31,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.10047155298786
30,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-25.10047155298786
32,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.14003370568817
