index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,MinMax,PCA3,Ridge,-49.725490416783764
3,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,MinMax,PCA3,Ridge,-314.4486682774559
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,MinMax,PCA3,Ridge,-316.211942464512
5,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,MinMax,PCA3,Ridge,-316.2382188622525
0,{'fit_intercept': True},MinMax,ZScore,Identity,LM,-48.653512556005396
1,{'fit_intercept': False},MinMax,ZScore,Identity,LM,-318.53515625
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,ZScore,Identity,Ridge,-48.97572971043464
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,ZScore,Identity,Ridge,-48.97646223897555
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,ZScore,Identity,Ridge,-49.02569796646288
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,ZScore,Identity,Ridge,-315.40369444925733
4,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,ZScore,Identity,Ridge,-315.4038071209455
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,ZScore,Identity,Ridge,-315.4768776475841
0,{'fit_intercept': True},MinMax,ZScore,BestK1,LM,-106.68598944706534
1,{'fit_intercept': False},MinMax,ZScore,BestK1,LM,-314.8587898246364
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,ZScore,BestK1,Ridge,-106.64021165850407
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,ZScore,BestK1,Ridge,-106.64053986941464
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,ZScore,BestK1,Ridge,-106.79497705038077
3,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,ZScore,BestK1,Ridge,-314.88846471938194
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,ZScore,BestK1,Ridge,-314.91548537607196
5,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,ZScore,BestK1,Ridge,-314.915525427787
