NumOfFeatures,fe_name,method,metrics,paras,sl_name,training_time,windows
4,PCA2,SVM,0.9871495327102804,"{'kernel': 'rbf', 'C': 1000.0, 'verbose': False, 'probability': False, 'degree': 3, 'shrinking': True, 'max_iter': -1, 'decision_function_shape': 'ovr', 'random_state': None, 'tol': 0.001, 'cache_size': 999999, 'coef0': 0.0, 'gamma': 'auto', 'class_weight': None}",MinMax,102.11100006103516,1
4,PCA2,SVM,0.9871495327102804,"{'kernel': 'rbf', 'C': 1000.0, 'verbose': False, 'probability': False, 'degree': 3, 'shrinking': True, 'max_iter': -1, 'decision_function_shape': 'ovr', 'random_state': None, 'tol': 0.001, 'cache_size': 999999, 'coef0': 0.0, 'gamma': 'auto', 'class_weight': None}",MinMax,120.25999999046326,3
3,PCA2,SVM,0.9468457943925234,"{'kernel': 'rbf', 'C': 1000.0, 'verbose': False, 'probability': False, 'degree': 3, 'shrinking': True, 'max_iter': -1, 'decision_function_shape': 'ovr', 'random_state': None, 'tol': 0.001, 'cache_size': 999999, 'coef0': 0.0, 'gamma': 'auto', 'class_weight': None}",MinMax,168.3619999885559,0
