index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
1,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,MinMax,BestK2,NB,0.6946296296296296
0,{'alpha': 1e-05},MinMax,MinMax,BestK2,Perceptron,0.6031481481481481
1,{'alpha': 0.0031622776601683794},MinMax,MinMax,BestK2,Perceptron,0.5687037037037037
2,{'alpha': 0.00017782794100389227},MinMax,MinMax,BestK2,Perceptron,0.527962962962963
3,{'alpha': 0.05623413251903491},MinMax,MinMax,BestK2,Perceptron,0.3138888888888889
4,{'alpha': 1.0},MinMax,MinMax,BestK2,Perceptron,0.22018518518518518
0,{'max_depth': 9},MinMax,MinMax,BestK2,DT,0.7077777777777777
1,{'max_depth': 11},MinMax,MinMax,BestK2,DT,0.7066666666666667
2,{'max_depth': 7},MinMax,MinMax,BestK2,DT,0.7031481481481482
3,{'max_depth': 5},MinMax,MinMax,BestK2,DT,0.685
4,{'max_depth': 3},MinMax,MinMax,BestK2,DT,0.6448148148148148
5,{'max_depth': 1},MinMax,MinMax,BestK2,DT,0.4387037037037037
0,{'n_neighbors': 26},MinMax,MinMax,PCA1,KNN,0.7735185185185185
1,{'n_neighbors': 20},MinMax,MinMax,PCA1,KNN,0.7716666666666666
2,{'n_neighbors': 14},MinMax,MinMax,PCA1,KNN,0.7677777777777778
3,{'n_neighbors': 8},MinMax,MinMax,PCA1,KNN,0.7648148148148148
4,{'n_neighbors': 2},MinMax,MinMax,PCA1,KNN,0.7107407407407408
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,MinMax,PCA1,NB,0.7398148148148148
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,MinMax,PCA1,NB,0.7298148148148148
0,{'alpha': 1e-05},MinMax,MinMax,PCA1,Perceptron,0.6083333333333333
1,{'alpha': 0.00017782794100389227},MinMax,MinMax,PCA1,Perceptron,0.6079629629629629
2,{'alpha': 0.0031622776601683794},MinMax,MinMax,PCA1,Perceptron,0.5222222222222223
3,{'alpha': 0.05623413251903491},MinMax,MinMax,PCA1,Perceptron,0.462037037037037
4,{'alpha': 1.0},MinMax,MinMax,PCA1,Perceptron,0.2387037037037037
0,{'max_depth': 7},MinMax,MinMax,PCA1,DT,0.7627777777777778
1,{'max_depth': 5},MinMax,MinMax,PCA1,DT,0.7590740740740741
2,{'max_depth': 9},MinMax,MinMax,PCA1,DT,0.7540740740740741
3,{'max_depth': 3},MinMax,MinMax,PCA1,DT,0.7405555555555555
4,{'max_depth': 11},MinMax,MinMax,PCA1,DT,0.7374074074074074
5,{'max_depth': 1},MinMax,MinMax,PCA1,DT,0.44203703703703706
0,{'n_neighbors': 8},MinMax,MinMax,PCA2,KNN,0.8166666666666667
1,{'n_neighbors': 20},MinMax,MinMax,PCA2,KNN,0.8166666666666667
2,{'n_neighbors': 26},MinMax,MinMax,PCA2,KNN,0.815
3,{'n_neighbors': 14},MinMax,MinMax,PCA2,KNN,0.8137037037037037
4,{'n_neighbors': 2},MinMax,MinMax,PCA2,KNN,0.7872222222222223
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,MinMax,PCA2,NB,0.7481481481481481
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,MinMax,PCA2,NB,0.7398148148148148
0,{'alpha': 1e-05},MinMax,MinMax,PCA2,Perceptron,0.6833333333333333
1,{'alpha': 0.00017782794100389227},MinMax,MinMax,PCA2,Perceptron,0.667037037037037
2,{'alpha': 0.0031622776601683794},MinMax,MinMax,PCA2,Perceptron,0.6222222222222222
3,{'alpha': 0.05623413251903491},MinMax,MinMax,PCA2,Perceptron,0.4790740740740741
4,{'alpha': 1.0},MinMax,MinMax,PCA2,Perceptron,0.23351851851851851
0,{'max_depth': 7},MinMax,MinMax,PCA2,DT,0.794074074074074
1,{'max_depth': 9},MinMax,MinMax,PCA2,DT,0.7911111111111111
2,{'max_depth': 5},MinMax,MinMax,PCA2,DT,0.7881481481481482
3,{'max_depth': 11},MinMax,MinMax,PCA2,DT,0.7831481481481481
4,{'max_depth': 3},MinMax,MinMax,PCA2,DT,0.7394444444444445
5,{'max_depth': 1},MinMax,MinMax,PCA2,DT,0.44203703703703706
0,{'n_neighbors': 14},MinMax,MinMax,PCA3,KNN,0.8127777777777778
1,{'n_neighbors': 20},MinMax,MinMax,PCA3,KNN,0.8101851851851852
2,{'n_neighbors': 26},MinMax,MinMax,PCA3,KNN,0.807962962962963
3,{'n_neighbors': 8},MinMax,MinMax,PCA3,KNN,0.8064814814814815
4,{'n_neighbors': 2},MinMax,MinMax,PCA3,KNN,0.7707407407407407
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,MinMax,PCA3,NB,0.7581481481481481
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,MinMax,PCA3,NB,0.7535185185185185
0,{'alpha': 0.00017782794100389227},MinMax,MinMax,PCA3,Perceptron,0.6888888888888889
1,{'alpha': 1e-05},MinMax,MinMax,PCA3,Perceptron,0.677037037037037
2,{'alpha': 0.0031622776601683794},MinMax,MinMax,PCA3,Perceptron,0.6305555555555555
3,{'alpha': 0.05623413251903491},MinMax,MinMax,PCA3,Perceptron,0.4690740740740741
4,{'alpha': 1.0},MinMax,MinMax,PCA3,Perceptron,0.23407407407407407
0,{'max_depth': 7},MinMax,MinMax,PCA3,DT,0.7881481481481482
1,{'max_depth': 5},MinMax,MinMax,PCA3,DT,0.7866666666666666
2,{'max_depth': 9},MinMax,MinMax,PCA3,DT,0.784074074074074
3,{'max_depth': 11},MinMax,MinMax,PCA3,DT,0.7762962962962963
4,{'max_depth': 3},MinMax,MinMax,PCA3,DT,0.7394444444444445
5,{'max_depth': 1},MinMax,MinMax,PCA3,DT,0.44203703703703706
0,{'n_neighbors': 8},MinMax,ZScore,Identity,KNN,0.8066666666666666
1,{'n_neighbors': 20},MinMax,ZScore,Identity,KNN,0.8062962962962963
2,{'n_neighbors': 14},MinMax,ZScore,Identity,KNN,0.8051851851851852
3,{'n_neighbors': 26},MinMax,ZScore,Identity,KNN,0.8005555555555556
4,{'n_neighbors': 2},MinMax,ZScore,Identity,KNN,0.7696296296296297
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,ZScore,Identity,NB,0.7383333333333333
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,ZScore,Identity,NB,0.7357407407407407
0,{'alpha': 1e-05},MinMax,ZScore,Identity,Perceptron,0.6898148148148148
1,{'alpha': 0.00017782794100389227},MinMax,ZScore,Identity,Perceptron,0.6655555555555556
2,{'alpha': 0.0031622776601683794},MinMax,ZScore,Identity,Perceptron,0.607037037037037
