params,rt_name,sl_name,method,features,mean_validation_score
"{'alpha': 0.00025118864315095795, 'max_iter': 100000}",Identity,ZScore,Neural,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.9031481481481481
"{'alpha': 1.584893192461114e-05, 'max_iter': 100000}",Identity,ZScore,Neural,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.9025925925925926
"{'alpha': 0.003981071705534969, 'max_iter': 100000}",Identity,ZScore,Neural,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.9007407407407407
"{'alpha': 0.0630957344480193, 'max_iter': 100000}",Identity,ZScore,Neural,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.9003703703703704
"{'alpha': 1e-06, 'max_iter': 100000}",Identity,ZScore,Neural,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.8996296296296297
"{'alpha': 1.0, 'max_iter': 100000}",Identity,ZScore,Neural,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.8868518518518519
{'C': 7.196856730011514},Identity,ZScore,Logistics,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.8351851851851851
{'C': 100.0},Identity,ZScore,Logistics,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.8346296296296296
{'C': 100.0},Identity,Identity,Logistics,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35]",0.8322222222222222
{'C': 0.5179474679231202},Identity,ZScore,Logistics,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.8316666666666667
{'C': 7.196856730011514},Identity,Identity,Logistics,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35]",0.8301851851851851
{'C': 0.5179474679231202},Identity,Identity,Logistics,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35]",0.8275925925925925
{'C': 0.03727593720314938},Identity,ZScore,Logistics,"[ 1  3  4  5  6  8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 35]",0.8162962962962963
