IsNormalTime,Scores,indices,Team,Attempts,Corners,Offsides,Ball_Possession(%),Pass_Accuracy(%),Distance_Covered,Ball_Recovered,Yellow_Card,Red_Card,Team1_Fouls
1,1,1,PERU,10,3,1,0.56,0.81,102,44,2,0,15
1,2,2,PERU,4,3,1,0.47,0.81,100,48,2,0,12
1,3,0,POLAND,10,3,3,0.57,0.88,110,43,1,0,8
1,3,1,POLAND,9,7,1,0.45,0.79,107,57,2,0,15
1,1,2,POLAND,11,7,0,0.46,0.83,80,36,0,0,8
1,6,0,PORTUGAL,8,4,1,0.39,0.87,102,36,1,0,12
1,1,1,PORTUGAL,10,5,1,0.47,0.76,105,49,1,0,19
1,2,2,PORTUGAL,14,5,1,0.68,0.89,89,38,4,0,11
1,3,3,PORTUGAL,20,10,1,0.61,0.84,107,41,1,0,13
1,5,0,RUSSIA,13,6,3,0.4,0.78,118,53,1,0,22
1,4,1,RUSSIA,11,7,0,0.47,0.76,115,59,1,0,11
1,3,2,RUSSIA,3,2,2,0.44,0.83,98,32,1,1,18
0,2,3,RUSSIA,6,5,1,0.25,0.72,146,43,2,0,19
0,4,4,RUSSIA,13,6,1,0.38,0.69,148,63,1,0,25
1,5,0,SAUDI ARABIA,6,2,1,0.6,0.86,105,48,1,0,10
1,1,1,SAUDI ARABIA,8,4,2,0.53,0.86,100,45,0,0,13
1,3,2,SAUDI ARABIA,22,7,1,0.61,0.9,101,49,0,0,7
1,3,0,SENEGAL,8,3,3,0.43,0.81,107,48,2,0,15
1,4,1,SENEGAL,14,5,4,0.46,0.79,102,44,3,0,14
1,1,2,SENEGAL,8,1,3,0.43,0.78,97,55,1,0,15
1,1,0,SERBIA,10,4,3,0.5,0.83,109,42,2,0,15
1,3,1,SERBIA,12,3,0,0.42,0.78,116,44,4,0,17
1,2,2,SERBIA,10,5,2,0.44,0.78,114,55,3,0,13
1,6,0,SPAIN,12,5,3,0.61,0.93,103,28,1,0,10
1,1,1,SPAIN,17,6,1,0.7,0.89,105,35,0,0,14
1,4,2,SPAIN,16,7,1,0.68,0.91,103,27,0,0,5
0,2,3,SPAIN,25,6,1,0.75,0.91,137,42,1,0,5
1,1,0,SWEDEN,15,6,1,0.52,0.84,102,43,1,0,20
1,3,1,SWEDEN,8,3,2,0.29,0.77,110,46,2,0,13
1,3,2,SWEDEN,13,3,0,0.35,0.67,102,45,2,0,11
1,1,3,SWEDEN,12,3,1,0.37,0.73,105,47,1,0,11
1,2,4,SWEDEN,7,1,2,0.43,0.74,107,36,2,0,10
1,2,0,SWITZERLAND,6,2,0,0.48,0.83,108,56,3,0,19
1,3,1,SWITZERLAND,20,7,3,0.58,0.87,112,40,1,0,12
