Method,Params,TestScore,NumberOfTestCases
LM,"{'normalize': True, 'fit_intercept': True}",3.515144861590109,4
Ridge,"{'normalize': True, 'alpha': 1.0, 'fit_intercept': True}",3.8331567456143176,4
