params,rt_name,sl_name,method,features,mean_validation_score
"{'C': 60, 'solver': 'saga'}",Identity,ZScore,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.8616666666666667
"{'C': 100, 'solver': 'lbfgs'}",Identity,ZScore,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.8616666666666667
"{'C': 100, 'solver': 'saga'}",Identity,ZScore,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.8616666666666667
"{'C': 100, 'solver': 'saga'}",Identity,ZScore,Logistics,all,0.8612962962962963
"{'C': 60, 'solver': 'lbfgs'}",Identity,ZScore,Logistics,all,0.8612962962962963
"{'C': 80, 'solver': 'saga'}",Identity,ZScore,Logistics,all,0.8611111111111112
"{'C': 60, 'solver': 'saga'}",Identity,ZScore,Logistics,all,0.8609259259259259
"{'C': 80, 'solver': 'lbfgs'}",Identity,ZScore,Logistics,all,0.8609259259259259
"{'C': 40, 'solver': 'saga'}",Identity,ZScore,Logistics,all,0.8605555555555555
"{'C': 100, 'solver': 'lbfgs'}",Identity,ZScore,Logistics,all,0.8605555555555555
"{'C': 40, 'solver': 'lbfgs'}",Identity,ZScore,Logistics,all,0.8605555555555555
"{'C': 40, 'solver': 'lbfgs'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.8601851851851852
"{'C': 60, 'solver': 'lbfgs'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.8588888888888889
"{'C': 80, 'solver': 'lbfgs'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.8588888888888889
"{'C': 40, 'solver': 'lbfgs'}",Identity,Identity,Logistics,all,0.8587037037037037
"{'C': 80, 'solver': 'lbfgs'}",Identity,Identity,Logistics,all,0.8583333333333333
"{'C': 60, 'solver': 'lbfgs'}",Identity,Identity,Logistics,all,0.8583333333333333
"{'C': 100, 'solver': 'lbfgs'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.8581481481481481
"{'C': 100, 'solver': 'lbfgs'}",Identity,Identity,Logistics,all,0.8574074074074074
"{'C': 100, 'solver': 'saga'}",Identity,Identity,Logistics,all,0.8044444444444444
"{'C': 40, 'solver': 'saga'}",Identity,Identity,Logistics,all,0.8044444444444444
"{'C': 60, 'solver': 'saga'}",Identity,Identity,Logistics,all,0.8044444444444444
"{'C': 80, 'solver': 'saga'}",Identity,Identity,Logistics,all,0.8044444444444444
"{'C': 60, 'solver': 'saga'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7981481481481482
"{'C': 100, 'solver': 'saga'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7981481481481482
"{'C': 80, 'solver': 'saga'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7981481481481482
"{'C': 40, 'solver': 'saga'}",Identity,Identity,Logistics,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7981481481481482
"{'alpha': 0.005, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7557407407407407
